Helenae reginae epitaphium, versio electronica	Anonymus	0976	prosa - inscriptio; prosa - epitaphium		Solin	61 verborum	NN		0976-10-08	floruit 976	prosa		croala			Litterae medii aevi (700-1400) Saeculum 10 (901-1000) 951-1000	nnjelena	nn-jelena.xml	3929	0
Agapes testamentum, versio electronica	Anonymus	0999	prosa - testamentum; prosa - diploma; prosa - acta		Zadar	403 verborum	Luka Vukušić		0999	floruit 999	prosa		croala			Litterae medii aevi (700-1400) Saeculum 10 (901-1000) 951-1000	nnagapestestamentum	nn-agapes-testamentum.xml	6348	1
Epigramma Pauli archiepiscopi Spalatensis, versio electronica	Anonymus	1015	poesis - inscriptio; poesis - epigramma		Split	8 versus, verborum 72	Veljko Gortan		1015	fl. 1015-1030	poesis		croala			Litterae medii aevi (700-1400) Saeculum 11 (1001-1100) 1001-1050	nnpaulusepigramma	nn-paulus-epigramma.xml	3613	2
Inscriptio Gregorii proconsulis, versio electronica	Anonymus	1020	poesis - inscriptio		Zadar	26 verborum, 8 versus	NN		1020	floruit 1020	poesis		croala			Litterae medii aevi (700-1400) Saeculum 11 (1001-1100) 1001-1050	nngregorius	nn-gregorius.xml	3458	3
Sauinae donatio, versio electronica	Anffredus presbiter	1034	prosa - donatio; prosa - diploma; prosa - acta		Zadar	403 verborum	Luka Vukušić		1034	floruit 1034	prosa		croala			Litterae medii aevi (700-1400) Saeculum 11 (1001-1100) 1001-1050	anffredussavinaedonatio	anffredus-savinae-donatio.xml	4453	4
Confirmatio Iaderensium, versio electronica	Anonymus	1056	prosa - donatio; prosa - diploma; prosa - acta		Zadar	458 verborum	Luka Vukušić		1056	floruit 1056	prosa		croala			Litterae medii aevi (700-1400) Saeculum 11 (1001-1100) 1051-1100	nnconfirmatioiaderenses	nn-confirmatio-iaderenses.xml	6597	5
Tres hymni perantiqui de Laudibus S. Domnii, versio electronica	Adam Parižanin	1059	poesis - hymnus		Split	394 versus, verborum 4195	Neven Jovanović		1059	floruit 1059	poesis paratextus prosaici		croala			Litterae medii aevi (700-1400) Saeculum 11 (1001-1100) 1051-1100	adamushymnidomnii	adamus-hymni-domnii.xml	47543	6
A. Ch. 1066. Cicca monasterium B. V. minoris Iaderae pro monialibus fundat, versio electronica	Anonymus	1066	prosa - diploma		Zadar	154 verborum	Fejér György		1066	floruit 1066	prosa		croala			Litterae medii aevi (700-1400) Saeculum 12 (1101-1200) 1101-1150	nnchartcicca1066	nn-chart-cicca-1066.xml	7045	7
Confirmatio territorii S. Crisogoni, versio electronica	Stjepan, biskup zadarski	1067	prosa - donatio; prosa - diploma; prosa - acta		Zadar	332 verborum	Luka Vukušić		1067	floruit 1067	prosa		croala			Litterae medii aevi (700-1400) Saeculum 11 (1001-1100) 1051-1100	stephanusconfirmatiocrisogoni	stephanus-confirmatio-crisogoni.xml	5985	8
Donatio Radauani, versio electronica	Adam, redovnik	1070	prosa - donatio; prosa - diploma; prosa - acta		Nin	134 verborum	Luka Vukušić		1070-09-01	floruit 1070	prosa		croala			Litterae medii aevi (700-1400) Saeculum 11 (1001-1100) 1051-1100	adamradauanustraditio	adam-radauanus-traditio.xml	4681	9
Confirmatio Radovani, versio electronica	Anastazije, hrvatski biskup i kraljev kancelar	1070	prosa - donatio; prosa - diploma; prosa - acta		Nin	428 verborum	Luka Vukušić		1070-09-01	floruit 1070	prosa		croala			Litterae medii aevi (700-1400) Saeculum 11 (1001-1100) 1051-1100	anastasiusconfirmatioradovani	anastasius-confirmatio-radovani.xml	6963	10
